Tenant,Group,Same,Chosen,Score
,1.0,1.0,1.0,100.0
-,1.0,0.0,0.0,100.0
,,,,
1/6 GP - 5/6 REGIONS,2.0,1.0,1.0,100.0
2/2 REGIONS,2.0,0.0,0.0,84.21
3/3 REGIONS,2.0,0.0,0.0,84.21
,,,,
10 Other Tenants,3.0,1.0,1.0,100.0
12 Other Tenants,3.0,0.0,0.0,93.75
13 Other Tenants,3.0,0.0,0.0,93.75
16 Other Tenants,3.0,0.0,0.0,93.75
4 Other Tenants,3.0,0.0,0.0,96.55
4 tenants,3.0,0.0,0.0,94.12
7 Other Tenants,3.0,0.0,0.0,96.55
9 Other Tenants,3.0,0.0,0.0,96.55
Eurocash + 1 other tenant,3.0,0.0,0.0,89.66
Tenmat,3.0,0.0,0.0,83.33
UPS + 4 other tenants,3.0,0.0,0.0,90.32
,,,,
12 Other Tenants,4.0,1.0,1.0,100.0
13 Other Tenants,4.0,0.0,0.0,93.75
16 Other Tenants,4.0,0.0,0.0,93.75
4 Other Tenants,4.0,0.0,0.0,96.55
4 tenants,4.0,0.0,0.0,94.12
7 Other Tenants,4.0,0.0,0.0,96.55
9 Other Tenants,4.0,0.0,0.0,96.55
Eurocash + 1 other tenant,4.0,0.0,0.0,89.66
Tenmat,4.0,0.0,0.0,83.33
UPS + 4 other tenants,4.0,0.0,0.0,90.32
,,,,
13 Other Tenants,5.0,1.0,1.0,100.0
16 Other Tenants,5.0,0.0,0.0,93.75
4 Other Tenants,5.0,0.0,0.0,96.55
4 tenants,5.0,0.0,0.0,94.12
7 Other Tenants,5.0,0.0,0.0,96.55
9 Other Tenants,5.0,0.0,0.0,96.55
Eurocash + 1 other tenant,5.0,0.0,0.0,89.66
Tenmat,5.0,0.0,0.0,83.33
UPS + 4 other tenants,5.0,0.0,0.0,90.32
,,,,
16 Other Tenants,6.0,1.0,1.0,100.0
4 Other Tenants,6.0,0.0,0.0,96.55
4 tenants,6.0,0.0,0.0,94.12
7 Other Tenants,6.0,0.0,0.0,96.55
9 Other Tenants,6.0,0.0,0.0,96.55
Eurocash + 1 other tenant,6.0,0.0,0.0,89.66
Tenmat,6.0,0.0,0.0,83.33
UPS + 4 other tenants,6.0,0.0,0.0,90.32
,,,,
2/2 NORTHERN France,7.0,1.0,1.0,100.0
NC,7.0,0.0,0.0,100.0
QFORT FRANCE,7.0,0.0,0.0,83.33
,,,,
2/2 REGIONS,8.0,1.0,1.0,100.0
2/9 GP - 7/9 REGIONS,8.0,0.0,0.0,84.21
3/3 REGIONS,8.0,0.0,0.0,85.71
,,,,
2/9 GP - 7/9 REGIONS,9.0,1.0,1.0,100.0
3/3 REGIONS,9.0,0.0,0.0,84.21
,,,,
3G Infrastructure Services AB,10.0,1.0,1.0,100.0
C&G Services,10.0,0.0,0.0,85.71
SD SERVICES,10.0,0.0,0.0,90.0
,,,,
3PL Kammac Ltd,11.0,1.0,1.0,100.0
Kammac,11.0,0.0,0.0,100.0
Kammac Limited,11.0,0.0,0.0,83.33
,,,,
3PL Logistics Limited,12.0,1.0,1.0,100.0
AF Logistics,12.0,0.0,0.0,90.91
AXE LOGISTICS,12.0,0.0,0.0,88.0
CEVA Logistics,12.0,0.0,0.0,84.62
CEVA Logistics Limited,12.0,0.0,0.0,92.31
CN Logistics,12.0,0.0,0.0,90.91
Ceva Logistics,12.0,0.0,0.0,84.62
Ceva Logistics Limited,12.0,0.0,0.0,92.31
DS Logistica,12.0,0.0,0.0,86.96
Darcia Logistics Limited,12.0,0.0,0.0,92.31
FEDEX LOGISTIC,12.0,0.0,0.0,84.62
FM LOGISTIC,12.0,0.0,0.0,85.71
FM LOGISTICS,12.0,0.0,0.0,90.91
FM Logistic,12.0,0.0,0.0,85.71
GDN Logistica,12.0,0.0,0.0,83.33
GIST,12.0,0.0,0.0,100.0
GXO Logistics UK Limited,12.0,0.0,0.0,85.71
Geologistics,12.0,0.0,0.0,85.71
Gist,12.0,0.0,0.0,100.0
Hellmann Worldwide Logistics Limited,12.0,0.0,0.0,85.71
ID LOGISTICS,12.0,0.0,0.0,95.65
ID Logistics,12.0,0.0,0.0,95.65
ITC Logistics,12.0,0.0,0.0,86.96
Id Logistics,12.0,0.0,0.0,95.65
JS LOGISTICS,12.0,0.0,0.0,90.91
L @ D,12.0,0.0,0.0,100.0
L4 Logistics,12.0,0.0,0.0,90.91
LOGISTA,12.0,0.0,0.0,85.71
LOGISTICA,12.0,0.0,0.0,88.89
Logista,12.0,0.0,0.0,85.71
MTO Logistics Limited,12.0,0.0,0.0,89.47
Mas Logistic,12.0,0.0,0.0,85.71
McGregor Logistics Limited,12.0,0.0,0.0,89.47
"Mercedes-Benz
Parts Logistics Uk
Limited",12.0,0.0,0.0,85.71
PR Logistics,12.0,0.0,0.0,85.71
RS Logistica,12.0,0.0,0.0,85.71
Reslogistics,12.0,0.0,0.0,85.71
SPI LOGISTIC,12.0,0.0,0.0,85.71
STI,12.0,0.0,0.0,100.0
Streamline Logistics Limited,12.0,0.0,0.0,89.47
Vision Logistical Solutions Limited,12.0,0.0,0.0,86.49
,,,,
4 Other Tenants,13.0,1.0,1.0,100.0
4 tenants,13.0,0.0,0.0,94.12
7 Other Tenants,13.0,0.0,0.0,96.55
9 Other Tenants,13.0,0.0,0.0,96.55
Eurocash + 1 other tenant,13.0,0.0,0.0,92.86
Tenmat,13.0,0.0,0.0,83.33
UPS + 4 other tenants,13.0,0.0,0.0,100.0
,,,,
4 Season Food AB,14.0,1.0,1.0,100.0
AP'4,14.0,0.0,0.0,85.71
SAS GD,14.0,0.0,0.0,83.33
,,,,
4 tenants,15.0,1.0,1.0,100.0
7 Other Tenants,15.0,0.0,0.0,94.12
9 Other Tenants,15.0,0.0,0.0,94.12
Assa Abloy (+2 tenants),15.0,0.0,0.0,94.12
Eurocash + 1 other tenant,15.0,0.0,0.0,87.5
"FUP, Taskoprojekt + 4 other tenants",15.0,0.0,0.0,94.12
Multi-tenants,15.0,0.0,0.0,94.12
Previous Tenant,15.0,0.0,0.0,87.5
Tenmat,15.0,0.0,0.0,83.33
UPS + 4 other tenants,15.0,0.0,0.0,88.89
Unknown Tenants,15.0,0.0,0.0,87.5
Unknown tenants Alpha Park,15.0,0.0,0.0,88.89
Unknown tenants Ashroyd,15.0,0.0,0.0,88.89
Unknown tenants Didcot,15.0,0.0,0.0,88.89
Unknown tenants Discovery and Antar,15.0,0.0,0.0,88.89
Unknown tenants Haddenham,15.0,0.0,0.0,88.89
Unknown tenants Long Crendon,15.0,0.0,0.0,88.89
Unknown tenants Ringway,15.0,0.0,0.0,88.89
Unknown tenants Swindon,15.0,0.0,0.0,88.89
Unknown tenants Tunstall Arrow,15.0,0.0,0.0,88.89
Unknown tenants Walker Park,15.0,0.0,0.0,88.89
Unknown tenants Warrington,15.0,0.0,0.0,87.5
Various (11 tenants Flukar Doelken 7R Solutions),15.0,0.0,0.0,88.89
Various (2 tenants 7R Solution and Jungheinrich),15.0,0.0,0.0,88.89
Various Tenants,15.0,0.0,0.0,87.5
,,,,
423 ENERGY SAS,16.0,1.0,1.0,100.0
SAS GD,16.0,0.0,0.0,83.33
,,,,
4PX,17.0,1.0,1.0,100.0
4PX EXPRESS FR,17.0,0.0,0.0,100.0
4PX Express,17.0,0.0,0.0,100.0
,,,,
4PX EXPRESS FR,18.0,1.0,1.0,100.0
4PX Express,18.0,0.0,0.0,100.0
Fresh Express,18.0,0.0,0.0,86.96
,,,,
4PX Express,19.0,1.0,1.0,100.0
Correos Express,19.0,0.0,0.0,84.21
DHL Express,19.0,0.0,0.0,84.21
Euro Coop Express,19.0,0.0,0.0,84.21
,,,,
"4WD Solitaire, Lda",20.0,1.0,1.0,100.0
L @ D,20.0,0.0,0.0,100.0
,,,,
4mp Technologies,21.0,1.0,1.0,100.0
ATEC advanced technologies,21.0,0.0,0.0,89.66
Borgwarner Technologies Limited,21.0,0.0,0.0,89.66
"Cornelius Beverages Technologies
Limited",21.0,0.0,0.0,89.66
Faurecia Emissions Control Technologies,21.0,0.0,0.0,89.66
Huboo Technologies Limited,21.0,0.0,0.0,89.66
NISSHA MEDICAL TECHNOLOGIES SAS,21.0,0.0,0.0,89.66
PRM Green Technologies Limited.,21.0,0.0,0.0,93.33
Supply Technologies (UKGRP) Ltd,21.0,0.0,0.0,87.5
Yasaki Systems Technologies GmbH,21.0,0.0,0.0,87.5
,,,,
7 Other Tenants,22.0,1.0,1.0,100.0
9 Other Tenants,22.0,0.0,0.0,96.55
Eurocash + 1 other tenant,22.0,0.0,0.0,92.86
Tenmat,22.0,0.0,0.0,83.33
UPS + 4 other tenants,22.0,0.0,0.0,93.33
,,,,
9 Other Tenants,23.0,1.0,1.0,100.0
Eurocash + 1 other tenant,23.0,0.0,0.0,92.86
Tenmat,23.0,0.0,0.0,83.33
UPS + 4 other tenants,23.0,0.0,0.0,93.33
,,,,
A P P Wholesale Limited,24.0,1.0,1.0,100.0
HPAS Limited.,24.0,0.0,0.0,85.71
UK Electrical Wholesale (Chelmsford) Limited,24.0,0.0,0.0,86.96
,,,,
A Share & Sons Limited,25.0,1.0,1.0,100.0
Aask Us Limited,25.0,0.0,0.0,84.62
B.E.S Limited,25.0,0.0,0.0,83.33
HPAS Limited.,25.0,0.0,0.0,85.71
SAF Limited,25.0,0.0,0.0,90.91
,,,,
AAC Globe Express,26.0,1.0,1.0,100.0
ABAC,26.0,0.0,0.0,85.71
ATAC,26.0,0.0,0.0,85.71
GLOBE EXPRESS,26.0,0.0,0.0,100.0
GLOBE EXPRESS 2,26.0,0.0,0.0,96.55
TNT Global Express S.p.A.,26.0,0.0,0.0,90.32
TNT Global Express S.p.a.,26.0,0.0,0.0,90.32
,,,,
AB Agri Limited,27.0,1.0,1.0,100.0
Aerfin Limited,27.0,0.0,0.0,84.62
Fisc Limited,27.0,0.0,0.0,85.71
